Scan-X;Line 1;Line 2;Line 3;Line 4;Line 5;Line 6;Line 7;Line 8;Line 9
10.117;49.2;;;;;;;;
10.135;;;;;73.0;;;;
10.178;;;;;;52.4;;63.2;
10.209;72.8;;;;;;;;
10.212;;;;;;;;;49.8
10.221;;;47.8;80.9;;;;;
10.239;73.8;;;;;;;;
10.263;;;;;86.0;;;;
10.279;;;;;;;;67.4;
10.297;;;80.4;;;;;;
10.309;;;;;;;70.6;;
10.327;;;85.5;;;;;;59.5
10.34;;;;75.4;;;;;
10.352;52.1;47.7;;;;;;;
10.364;;;;;;;;;59.1
10.382;;;;;75.2;53.2;;;
10.398;;;;;;;73.4;;
10.41;;;;75.4;;;;;
10.428;;;;;;;;61.6;
10.489;;;42.7;;;;;;
10.519;;;;;;77.4;;;
10.535;;;;;;;;;53.4
10.538;;;;;;;64.9;;
10.544;;;;;;;;68.5;
10.614;;54.1;;;;;;;
10.623;56.7;;;;;;;;
10.629;;;;;;43.9;;;
10.644;;;;;75.3;;;;
10.66;;;;75.9;;;70.4;;
10.696;;;;;;;;58.4;
10.736;;;43.1;;;;;;
10.754;;;;;85.8;;;;
10.815;;79.0;;;;;;;
10.83;;;;;;;;;52.3
10.855;;;85.0;;;;;;
10.864;;;;;;;62.3;;
10.873;74.5;;;;;;;;
10.888;;;;;72.2;;;;
10.919;;;;;;;;84.8;
10.94;76.3;;;;;;;;
10.958;;;82.3;;;;;;
10.967;;;;;;49.2;;;
11.044;;57.4;;;;;;;
11.053;;;;;;;;54.8;
11.077;62.0;;;;;;;;
11.08;;;;77.7;;;;;
11.129;;;;;74.1;;;;
11.132;;;54.9;75.8;;;;;
11.15;;;;;;;;;53.7
11.156;;;;;;;58.8;;
11.217;;;;;;49.1;;;
11.278;;;;;64.9;;;;
11.293;;;;;;;85.7;;
11.303;;;;;;;;55.4;
11.318;;60.8;;;;;;;
11.33;60.9;;;;;;;;
11.339;;;;;;;;;58.3
11.345;;;;69.5;;;;;
11.351;;;;;;80.9;;;
11.382;;;;;72.8;;;;
11.418;;;;;;;60.0;;
11.44;;;;;;58.3;;;
11.449;;;54.7;;;;;;50.3
11.501;;;;;;;;73.5;
11.507;;44.7;;;;;;;
11.534;;;;;;;86.3;;
11.543;39.6;;;;;;;;
11.546;;;;;;;;;45.1
11.583;;;;;73.6;19.8;;;
11.598;;;;53.0;;;;;
11.671;;;17.3;;;;;;
11.708;;86.4;;;;;;;54.2
11.711;75.0;;;;;;;;
11.738;;;;;;;;50.3;
11.741;;;;55.0;;;;;
11.76;;;49.5;;;;;;
11.772;;;;;;44.1;;;
11.802;;61.5;;;;;;;
11.815;;;69.6;;52.8;;;;
11.83;62.3;;;;;;;;
11.842;;;;;;;53.0;;
11.851;;;;;;56.7;;;
11.863;;;;;;;;;55.9
11.879;;;;;;;;63.6;
11.882;;;;;;57.3;;;
11.885;;;51.8;;;;;;
11.888;;;;59.0;;;;;
11.936;;;;;;;;;55.4
11.952;;;;;;66.7;;;
11.976;;;;;;;71.5;;
11.985;;;;;;66.1;;;
11.991;;;;56.9;;;;;
11.994;;;;;55.8;;;;
12.022;;;76.4;;;;;;
12.04;57.5;61.5;;;;;;;
12.046;;;;;;;;71.6;
12.052;;;;;;41.7;;;
12.08;;;;;;;;;57.7
12.086;;;;;60.4;;;;
12.131;;;48.4;;;;;64.5;
12.138;;;;;;58.7;;;
12.141;;;;59.7;;;;;
12.168;;;;;;;74.9;;
12.171;;;;;;;;;55.4
12.229;;;;59.2;;;;;
12.235;;;;;61.3;;;;
12.244;;;;;;;74.3;;
12.281;;;;;;;;;61.4
12.293;;61.8;;;;51.8;;;
12.302;61.7;;;;;;;;
12.323;61.8;;;;;;;;
12.333;;;54.7;;;;;;
12.339;;;;;63.0;;;;
12.378;;;;;;;;62.6;
12.387;;;;;;;74.7;;
12.4;;;;65.2;;;;;57.3
12.424;;;;;;;74.6;;
12.439;76.4;;;;;;;;
12.473;;;;63.2;;;;;
12.482;;;;;64.6;;;;
12.488;;;;;;;70.3;;
12.491;;;;;;52.7;;;
12.528;;;78.3;;;;;;
12.537;;65.6;;;;;;;
12.57;63.9;;;;;;;;
12.579;;;;;;;;;59.0
12.582;;;;;;;;61.5;
12.616;;;;66.9;67.8;;;;
12.643;;;67.8;;;;;;
12.665;;;;65.1;;;;;
12.698;;;;;;;70.7;;
12.707;;;;64.1;;;;;
12.71;;;;;;;;;67.3
12.717;;;;;;57.5;;;
12.738;;;;;71.1;;;;
12.805;;72.9;;;;;;63.2;
12.829;;;;;;;;;55.5
12.832;;;;66.1;;;;;
12.848;63.3;;;;;;;;
12.887;;;;65.0;;;;;
12.896;;;65.3;;72.3;;;;
12.918;;;;;;;73.5;;
12.957;;;;63.4;;;;;
12.976;;;;;;58.3;;;
12.982;;;;;72.8;;;;
13.027;;;;;;;;61.7;
13.043;;;;63.1;;;;;
13.049;;;87.6;;;;;;
13.064;;64.9;;;;;;;
13.091;58.2;;;;;;;;62.2
13.101;;;;;71.1;;;;
13.122;;;;;;;74.8;;
13.125;;;;63.1;;;;;
13.171;;;56.1;;;;;;
13.177;;;;63.0;;;;;
13.216;;;;;;;84.6;;
13.232;;;;;69.6;;;;
13.247;;;;63.0;;;85.3;;
13.253;;;;;;57.0;;;
13.289;;72.0;;;;;;;
13.302;;;;63.6;;;;63.5;
13.308;60.7;;;;;;;;
13.32;;;;;70.9;;;;
13.35;;;;;;;;;62.1
13.378;;;;;70.4;;;;
13.381;;;51.7;;;;;;
13.399;;;;;;;77.7;;
13.405;;;51.8;;;;;;
13.427;;;;66.0;;;;;
13.442;;;;;71.1;;;;
13.469;;;;66.0;;;;;
13.481;;;;;71.9;;;;
13.518;;;82.0;;;;;;
13.527;;69.4;;;;;;;
13.533;;;;67.3;;;;;
13.542;;;;;;;;;71.0
13.552;68.1;;;;71.2;46.2;;;
13.594;;;;;;;;64.8;
13.597;;;;66.2;;;;;
13.655;;;58.6;;70.7;;;;
13.658;;;;;;;;;64.4
13.664;;;;;;;;65.3;
13.667;;;;;;82.5;;;
13.67;;64.6;;;;;;;
13.673;;;;;;;75.5;;
13.744;;;;;72.2;;;;
13.753;;;;;;;;78.1;
13.762;23.0;;;;;;;;
13.768;;12.1;;67.1;;;;;
13.78;;;;;;;;;72.2
13.792;;;;;73.3;;;;
13.808;;;62.3;;;;;;
13.814;;;;68.1;;;;;
13.826;;;;;73.0;;;;
13.835;;;;;;66.4;;;70.1
13.841;69.4;;;;;;;;
13.923;;;;;;;;64.9;
13.951;;;;67.8;;;;;
13.957;;;;;;;74.7;;
13.981;;;;;81.6;;;;
14.024;;;;;;;;76.8;
14.054;;;;;;83.8;;;
14.067;;;;;;;;76.6;
14.103;;;;;;85.8;;;
